"REF_DATE,""GEO";""",""DGU";"ID""";",""Month of death"",""Characteristics"",""UOM"",""UO";"M_ID"",""SCALAR_FACTOR"",""SCALAR_ID"",""VECTOR"",""COORDINATE"",""VALUE"",""STATUS"",""SYMBOL"",""TERMINATED"",""DECIMALS"""
"2010,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""18908"","""","""","""",""0"""
"2011,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""20204"","""","""","""",""0"""
"2012,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""20178"","""","""","""",""0"""
"2013,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""20730"","""","""","""",""0"""
"2014,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""20563"","""","""","""",""0"""
"2015,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""22453"","""","""","""",""0"""
"2016,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""22273"","""","""","""",""0"""
"2017,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""23279"","""","""","""",""0"""
"2018,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""24138"","""","""","""",""0"""
"2019,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""23202"","""","""","""",""0"""
"2020,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216334"",""1.3.1"",""23881"","""","""","""",""0"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""7.9"","""","""","""",""1"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.3"","""","""","""",""1"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.0"","""","""","""",""1"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.2"","""","""","""",""1"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.4"","""","""","""",""1"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.4"","""","""","""",""1"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.3"","""","""","""",""1"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""9.2"","""","""","""",""1"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""9.0"","""","""","""",""1"""
"2000,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.2"","""","""","""",""1"""
"2001,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.2"","""","""","""",""1"""
"2002,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.3"","""","""","""",""1"""
"2003,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""7.9"","""","""","""",""1"""
"2004,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.5"","""","""","""",""1"""
"2005,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.5"","""","""","""",""1"""
"2006,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.1"","""","""","""",""1"""
"2007,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.6"","""","""","""",""1"""
"2008,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.4"","""","""","""",""1"""
"2009,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.1"","""","""","""",""1"""
"2010,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""7.9"","""","""","""",""1"""
"2011,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.3"","""","""","""",""1"""
"2012,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.2"","""","""","""",""1"""
"2013,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.2"","""","""","""",""1"""
"2014,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""7.9"","""","""","""",""1"""
"2015,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.5"","""","""","""",""1"""
"2016,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.3"","""","""","""",""1"""
"2017,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.4"","""","""","""",""1"""
"2018,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.4"","""","""","""",""1"""
"2019,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""8.1"","""","""","""",""1"""
"2020,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"February"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216335"",""1.3.2"",""7.8"","""","""","""",""1"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""17052"","""","""","""",""0"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""16785"","""","""","""",""0"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""19430"","""","""","""",""0"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""17860"","""","""","""",""0"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""19552"","""","""","""",""0"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""18623"","""","""","""",""0"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""19652"","""","""","""",""0"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""21144"","""","""","""",""0"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""20347"","""","""","""",""0"""
"2000,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""18428"","""","""","""",""0"""
"2001,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""19511"","""","""","""",""0"""
"2002,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""20088"","""","""","""",""0"""
"2003,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""19919"","""","""","""",""0"""
"2004,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""19913"","""","""","""",""0"""
"2005,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""20854"","""","""","""",""0"""
"2006,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""20350"","""","""","""",""0"""
"2007,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""21328"","""","""","""",""0"""
"2008,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""21586"","""","""","""",""0"""
"2009,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""21141"","""","""","""",""0"""
"2010,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""20953"","""","""","""",""0"""
"2011,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""21967"","""","""","""",""0"""
"2012,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""21467"","""","""","""",""0"""
"2013,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""21832"","""","""","""",""0"""
"2014,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""22530"","""","""","""",""0"""
"2015,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""23758"","""","""","""",""0"""
"2016,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""23950"","""","""","""",""0"""
"2017,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""24704"","""","""","""",""0"""
"2018,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""25354"","""","""","""",""0"""
"2019,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""25075"","""","""","""",""0"""
"2020,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216336"",""1.4.1"",""25890"","""","""","""",""0"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.7"","""","""","""",""1"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.5"","""","""","""",""1"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.5"","""","""","""",""1"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.6"","""","""","""",""1"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.3"","""","""","""",""1"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.7"","""","""","""",""1"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.1"","""","""","""",""1"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.7"","""","""","""",""1"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.3"","""","""","""",""1"""
"2000,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.5"","""","""","""",""1"""
"2001,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.9"","""","""","""",""1"""
"2002,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.0"","""","""","""",""1"""
"2003,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.8"","""","""","""",""1"""
"2004,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.8"","""","""","""",""1"""
"2005,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.1"","""","""","""",""1"""
"2006,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.9"","""","""","""",""1"""
"2007,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.1"","""","""","""",""1"""
"2008,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.0"","""","""","""",""1"""
"2009,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.9"","""","""","""",""1"""
"2010,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.7"","""","""","""",""1"""
"2011,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.0"","""","""","""",""1"""
"2012,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.7"","""","""","""",""1"""
"2013,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.7"","""","""","""",""1"""
"2014,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.7"","""","""","""",""1"""
"2015,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.0"","""","""","""",""1"""
"2016,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""9.0"","""","""","""",""1"""
"2017,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.9"","""","""","""",""1"""
"2018,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.9"","""","""","""",""1"""
"2019,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.8"","""","""","""",""1"""
"2020,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"March"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216337"",""1.4.2"",""8.4"","""","""","""",""1"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""16042"","""","""","""",""0"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""15931"","""","""","""",""0"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""17473"","""","""","""",""0"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""16589"","""","""","""",""0"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""17785"","""","""","""",""0"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""17547"","""","""","""",""0"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""17998"","""","""","""",""0"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""17706"","""","""","""",""0"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""17551"","""","""","""",""0"""
"2000,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""17326"","""","""","""",""0"""
"2001,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""18170"","""","""","""",""0"""
"2002,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""18314"","""","""","""",""0"""
"2003,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""18414"","""","""","""",""0"""
"2004,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""18935"","""","""","""",""0"""
"2005,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""19173"","""","""","""",""0"""
"2006,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""18786"","""","""","""",""0"""
"2007,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""19393"","""","""","""",""0"""
"2008,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""20678"","""","""","""",""0"""
"2009,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""19629"","""","""","""",""0"""
"2010,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""19944"","""","""","""",""0"""
"2011,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""20350"","""","""","""",""0"""
"2012,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""20407"","""","""","""",""0"""
"2013,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""20882"","""","""","""",""0"""
"2014,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""21378"","""","""","""",""0"""
"2015,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""22073"","""","""","""",""0"""
"2016,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""22271"","""","""","""",""0"""
"2017,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""22658"","""","""","""",""0"""
"2018,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""23650"","""","""","""",""0"""
"2019,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""23704"","""","""","""",""0"""
"2020,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216338"",""1.5.1"",""28714"","""","""","""",""0"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216339"",""1.5.2"",""8.2"","""","""","""",""1"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216339"",""1.5.2"",""8.1"","""","""","""",""1"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216339"",""1.5.2"",""8.5"","""","""","""",""1"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216339"",""1.5.2"",""8.0"","""","""","""",""1"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216339"",""1.5.2"",""8.4"","""","""","""",""1"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216339"",""1.5.2"",""8.2"","""","""","""",""1"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216339"",""1.5.2"",""8.3"","""","""","""",""1"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216339"",""1.5.2"",""8.1"","""","""","""",""1"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"April"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216339"",""1.5.2"",""8.0"","""","""","""",""1"""
